Reference #,Title,Agency,Contract Value
DHW0434425,Main Roads Western Australia - Broome Depot - Haynes Street  -  Enclosed Machinery Shed,Department of Housing and Works,"$ 196,225.00 "
DHW0381425,Department of Education - Grandis Primary School - Relocation of 1 x GLA Transportable Classroom and 1 x KPP Transportable Classroom,Department of Housing and Works,"$ 299,922.00 "
DHW0076725,Department of Training and Workforce Development - Batavia Coast Maritime Institute Training Facility - Minor Works,Department of Housing and Works,"$ 317,914.00 "
DOJ202549673,Supply of Electricity to Various Court Sites,Department of Justice,"$ 2,662,633.00 "
DOJ202529860,Provision of Printing Services for the Parliamentary Counsel’s Office,Department of Justice,"$ 252,250.00 "
LGIRS25402,Provision of Psychosocial Peer Supervision Services,"Department of Local Government, Industry Regulation and Safety","$ 186,216.00 "
DPLH202725,"Real Estate Agency Services for the Sale of Lot 156 Curtin Avenue, Cottesloe and Lot 168 John Street, Bentley","Department of Planning, Lands and Heritage","$ 87,467.00 "
DPIRD2025238,Provision of Cleaning Services for the Department of Primary Industries and Regional Development Exmouth District Office,Department of Primary Industries and Regional Development,"$ 90,915.00 "
DPIRD2025223,45-56kW Front Wheel Assist Tractor with Cab,Department of Primary Industries and Regional Development,"$ 66,179.00 "
DPIRD2025135,Business Analyst Services (CUAICTS2021),Department of Primary Industries and Regional Development,"$ 3,298,168.00 "
RPBG24012,Digital Rostering Solutions for Medical Officers in High Acuity Areas,East Metropolitan Health Service,"$ 208,216.00 "
MRWA0349240272A,Provision of Temporary Personnel - Depot Business Services Officer - Metropolitan Region,Main Roads Western Australia,"$ 59,817.00 "
DBCARIAT2526,Water Distribution Network 2025 - Detailed Design and Specification,Rottnest Island Authority,"$ 285,824.00 "
DBCA423WT0842025A,Construction of Concrete Paths and Abutments – Knox Gorge Lookout,"Department of Biodiversity, Conservation and Attractions","$ 263,674.00 "
DBCA412ST0952025,Cleaning Services Valley of the Giants Tree Top Walk,"Department of Biodiversity, Conservation and Attractions","$ 350,000.00 "
DOC202551867,Provision of Satellite Phone Services via CUATEL2021,Department of Communities,"$ 101,400.00 "
ED252059,Textbooks for Shenton College,Department of Education,"$ 56,672.00 "
ED251816,Japan Tour for Hammond Park Secondary College,Department of Education,"$ 130,600.00 "
DoH202515088,Service Capacity Improvement,Department of Health (Royal Street),"$ 1,200,000.00 "
FINW0305424,Department of Training and Workforce Development - Central Regional TAFE - Geraldton Campus - Aluminium Composite Panel Remediation,Department of Housing and Works,"$ 3,299,055.00 "
DHW0492025,Department of Education - Cable Beach Primary School - December 2025 Break In,Department of Housing and Works,"$ 14,683.00 "
CAHS202413789,Three Dimensional Gait Analysis (3DGA) Laboratory Equipment,Department of Housing and Works,"$ 704,258.00 "
TWDQ05592025,Design Services for the Stage 3 Metronet Rail Training Facility at the North Metropolitan Tafe Midland Campus,Department of Training and Workforce Development (DTWD),"$ 90,361.00 "
DTMI907726,EY Risk Advisory Services,Department of Transport and Major Infrastructure,"$ 54,263.00 "
HSS202515479,System Flow and Reform Program for the services of Solution Architect (Integration),Health Support Services,"$ 112,057.00 "
MRWA0349240250,Provision of Temporary Personnel - Finance - Program Management Office - Panel Contracts Officer,Main Roads Western Australia,"$ 70,442.00 "
MRWA0349240184,Provision of Temporary Personnel - Finance & Commercial - Program Management Office - Project Finance Business Partnering,Main Roads Western Australia,"$ 167,357.00 "
MRWA015725,Provision of Diligent Boards Licensing Agreement - 5 year Renewal,Main Roads Western Australia,"$ 165,000.00 "
MRWA0006200083,Provision of Consultancy Services for Data Warehouse Roadmap Implementation Phase 1,Main Roads Western Australia,"$ 240,130.00 "
MRWA0006200080,Provision of Video Analytics Services to capture Freight Traffic Data,Main Roads Western Australia,"$ 249,846.00 "
NMHS202515506,Derbarl Yerrigan Health Service – Federation Funding Agreement  2025-2026,North Metropolitan Health Service,"$ 399,312.00 "
PROPTA25043,Fremantle Interchange Temp Facilities,Programmed Facility Management,"$ 180,243.00 "
PROMSA25167,Mechanical Services Switchboard- Library Electrical Services - Churchlands Senior High School,Programmed Facility Management,"$ 175,670.00 "
PROMSA25166,ACM Eave Remediation Program - Attadale Primary School,Programmed Facility Management,"$ 130,377.00 "
PRODOC25083,"Partial Refurbishment - 86 Sutherland Street, Port Hedland",Programmed Facility Management,"$ 71,425.00 "
PRODOC25077,"Refurbishment - 8 North Street, Nannup",Programmed Facility Management,"$ 425,000.00 "
DBCARIAQ2226,"Concept Design, Sustainable Visitor Master Plan",Rottnest Island Authority,"$ 57,728.00 "
DFESPOREQ0007153,Service Desk Analyst,Department of Fire and Emergency Services,"$ 68,200.00 "
DoH202515359,Interim Evaluation of the Residential Respite Pilot (RRP),Department of Health (Royal Street),"$ 186,115.00 "
DoH202515320,VertiGIS/Geocortex Software Maintenance and Support,Department of Health (Royal Street),"$ 189,058.00 "
DHW0373125,Department of Education - Roebourne District High School -  Shade Sails,Department of Housing and Works,"$ 103,633.00 "
DOJ202446187,Cleaning Services for Albany Regional Prison,Department of Justice,"$ 562,625.00 "
DPIRD2025134A,Change Management Services (CUAICTS2021),Department of Primary Industries and Regional Development,"$ 2,076,952.00 "
GC2500098,Wall Demolition,Gold Corporation,"$ 78,787.00 "
MRWA0349240277,Provision of Temporary Personnel - Finance - Legal & Commercial Services - Legal & Project Support Officer,Main Roads Western Australia,"$ 82,573.00 "
MRWA016025,Provision of Optimizely Agreement 2026 Renewal,Main Roads Western Australia,"$ 253,339.00 "
MRWA014725,Supply of Bentley Enterprise Licensing Agreement Renewal 2026,Main Roads Western Australia,"$ 935,374.00 "
DBCARIAT1226,Solar Farm Refurbishment,Rottnest Island Authority,"$ 207,922.00 "
WAPOL17024,Lease of Pilatus PC-24 Jet Aircraft,Western Australia Police Force,"$ 23,225,710.00 "
CAHS202515382,Emergency Air Transport - Perth to Melbourne,Child and Adolescent Health Service,"$ 75,000.00 "
MP0326500125,Department of Health - Bentley Health Service Surgicentre Project - Lead Architectural Consultant and Subconsultant Services,Department of Housing and Works,"$ 6,899,382.00 "
DHW0743201322,Department Of Education - One Arm Point Remote Community School - Deep Clean and painting of all surfaces in Junior and Senior block toilets and showers,Department of Housing and Works,"$ 21,142.00 "
DHW0604424,Department of Education - Roseworth Primary School - Education Support Centre (SUF),Department of Housing and Works,"$ 2,315,944.00 "
DHW0573323,Main Roads Western Australia - Construction of 3 x Sheds Port Hedland,Department of Housing and Works,"$ 166,924.00 "
DHW0573024,Department of Education - Applecross Senior High School - Refurbishment and Relocation of 1 x Science Transportable Classroom and relocation of 1 x Transportable Toilet including associated,Department of Housing and Works,"$ 396,745.00 "
DHW0458625,Department of Education - Castletown Primary School - Tree Pruning and Removal Works,Department of Housing and Works,"$ 118,620.00 "
DHW0410425,Department of Education - Dardanup Primary School - Cooling Our Schools -Lead Consultancy Services,Department of Housing and Works,"$ 95,005.00 "
DHW0410025,Department of Education - Harvey Primary School - Cool the Schools - Architectural Services,Department of Housing and Works,"$ 71,422.00 "
DHW0409425,Department of Education - Picton Primary School - Cool the Schools - Architectural Services,Department of Housing and Works,"$ 73,329.00 "
DHW0387125,Department of Education - Applecross Senior High School - Relocation of 5 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 331,568.00 "
DHW0373225,Department of Justice -  Manjimup Courthouse -  Internal Painting Includes Section 1 - Section 2 - Section 3,Department of Housing and Works,"$ 26,378.00 "
DHW0289525,Department of Education - Pinjarra Primary School - Cool our Schools - Architectural Services,Department of Housing and Works,"$ 168,180.00 "
TWDQ05502025,Real Time Labour Market Data Subscription,Department of Training and Workforce Development (DTWD),"$ 108,600.00 "
DOT412425,Cleaning Services at Bandy Creek Boat Harbour,Department of Transport and Major Infrastructure,"$ 264,299.00 "
DWER305825,Temporary Personnel - EPA Chair Executive Officer,Department of Water and Environmental Regulation,"$ 81,000.00 "
ICWA061825,Purchase of Toyota Fortuner Crusade,Insurance Commission of Western Australia,"$ 70,444.00 "
MRWA014925,Provision of Aboriginal Heritage Services for Eyre Hwy (H003) SLK 2.0 – Norseman Road Train Assembly Area,Main Roads Western Australia,"$ 69,703.00 "
MRWA0006200078,Provision of consulting services for ITS Control Platform Procurement,Main Roads Western Australia,"$ 247,720.00 "
PROMSA25175,New Playground East Hammersley PS,Programmed Facility Management,"$ 139,313.00 "
PTA251085,Success Hill Drainage Services,Public Transport Authority,"$ 930,420.00 "
PTA250052,Cisco Hardware Maintenance 2025 to 2028,Public Transport Authority,"$ 1,869,536.00 "
RFQ20102025ACT,Restaurant Kitchen Ventilation System Upgrade,Arts and Culture Trust,"$ 51,827.00 "
ED252196,Canberra Tour for Hammond Park Secondary College,Department of Education,"$ 54,747.00 "
DFESPOREQ0007178,Administration Officer,Department of Fire and Emergency Services,"$ 57,481.00 "
DHW0484425,Department of Justice - Broome Regional Prison -1 - Dining Room Unit Replacement,Department of Housing and Works,"$ 47,189.00 "
DHW0479325,Department of Justice - Broome Regional Prison - EPU Cell 3 and 4 A/C Replacement,Department of Housing and Works,"$ 32,287.00 "
DHW0314025,Department of the Premier and Cabinet - 2 Kings Park Road - Fitout Alterations,Department of Housing and Works,"$ 263,992.00 "
LGIRS25425,Energy Safety Public Education Campaign 2025-27,"Department of Local Government, Industry Regulation and Safety","$ 240,000.00 "
DLGSCE2429,"Racing, Gaming & Liquor - Licensing and Compliance System","Department of Local Government, Industry Regulation and Safety","$ 14,035,812.00 "
DPLH406925,Purchase of 180 Monitors and 90 Docks under CUACMD2021,"Department of Planning, Lands and Heritage","$ 59,105.00 "
DPLH101925,Network Services for Metro Expansion Project,"Department of Planning, Lands and Heritage","$ 120,997.00 "
DPIRD2025274,Supply of an IT Project Officer for DPIRD Program of Works,Department of Primary Industries and Regional Development,"$ 110,000.00 "
DPIRD2025273,Project/Administration Officer,Department of Primary Industries and Regional Development,"$ 86,000.00 "
MRWA0349240273,Provision of Temporary Personnel - OMTID - Major Projects - Project Support Officer,Main Roads Western Australia,"$ 67,610.00 "
MRWA0349240265,Provision of Temporary Personnel - Finance - Legal & Commercial Services - Legal & Project Support Officer,Main Roads Western Australia,"$ 31,561.00 "
MRWA0349240246,Provision of Temporary Personnel - Metropolitan Region - Electrical Asset Management - Electrical Drafter Support,Main Roads Western Australia,"$ 84,444.00 "
MRWA0349240235,Provision of Temporary Personnel - Strategy & Communications - Real Time Traffic Media Liaison,Main Roads Western Australia,"$ 61,283.00 "
MRWA0349240211,Provision of Temporary Personnel - Metropolitan Region - Asset Management - Asset Manager Structures Officer,Main Roads Western Australia,"$ 116,657.00 "
MRWA0197180147,Construction of Midlands Road (M028) Seal Shoulders on Existing Formation SLK 62.30-77.08,Main Roads Western Australia,"$ 5,067,706.00 "
MRWA0006200076,Provision of Traffic Signal Modal Priority Broker Implementation,Main Roads Western Australia,"$ 208,395.00 "
PSC1078CM,Agency Target Operating Model  Review and Strategic Development,Public Sector Commission,"$ 239,382.00 "
SBDC132025,Website Support and Hosting & Drupal 11 Migration,Small Business Development Corporation,"$ 196,529.00 "
DBCA411WT0822025,Big Brook Dam Walk Track asphalt reseal,"Department of Biodiversity, Conservation and Attractions","$ 347,365.00 "
JTSI2223043,Finance Solution,Department of Energy and Economic Diversification,"$ 5,800,000.00 "
DHW202540695,Design and Construct 4 x (2 Bed x 1 Bath) and 3 x (1 Bed x 1 Bath) Grouped Residential Dwellings at Lot 739 (84) Aurea Boulevard Golden Bay WA 6174,Department of Housing and Works,"$ 2,654,356.00 "
DHW0742608222,Roebourne District High School - Connected Community Trial Works,Department of Housing and Works,"$ 130,205.00 "
DHW0405025,Department of Education - Southern River College - Installation of 3 GLA,Department of Housing and Works,"$ 226,521.00 "
DHW0385725,Department of Training and Workforce Development - Pundulmurra Campus - Toilet Refurbishment,Department of Housing and Works,"$ 65,986.00 "
DHW0384425,Department of Education - South Halls Head Primary School - Delivery Installation of 1 x GLA Transportable Classroom,Department of Housing and Works,"$ 103,838.00 "
DHW0383825,Department of Education - Mundijong Primary School - Relocation of 1 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 130,072.00 "
DHW0383725,Department of Education - Merriwa Education Support Centre - Relocation of 1 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 114,457.00 "
DHW0333225,Department of Education - Ellenbrook Secondary College - Fire Services Upgrade,Department of Housing and Works,"$ 1,215,023.00 "
DHW0283925A,Department of Education - Gwynne Park Primary School - Installation of 1 x KPP Transportable Unit,Department of Housing and Works,"$ 164,989.00 "
DHW0211025,Department of Housing and Works - Various Clients - Provision of Routine Maintenance for Sewerage and Waste Systems,Department of Housing and Works,"$ 126,848.00 "
DHW0157725,Department of Education - Bannister Creek Primary School - Removal and Relocation of 2 x GLA Transportable Classroom,Department of Housing and Works,"$ 414,881.00 "
DHW0052425,Department of Education - Amaroo Primary School - Plaster Glass Replacement,Department of Housing and Works,"$ 205,424.00 "
DoJ202539830,Provision of Accommodation Services for the Corrective Services Academy,Department of Justice,"$ 4,980,000.00 "
PO1000364,Construct additional enclosed office spaces,"Department of the Registrar, WA Industrial Relations Commission","$ 142,134.00 "
DTF25002,Thought Leader Coordination Services for the WA Strategic Procurement Community of Practice,Department of Treasury and Finance,"$ 300,000.00 "
DWER305725,Temporary Personnel - ICT Change Manager,Department of Water and Environmental Regulation,"$ 170,000.00 "
GC2400017,"Fire Systems Upgrade, Consolidation and Services - Refinery",Gold Corporation,"$ 2,473,472.00 "
MRWA0349240255,Provision of Temporary Personnel - Finance & Commercial Services - Asset Accounting Officer,Main Roads Western Australia,"$ 77,628.00 "
PROMSA25169,Plasterglass Ceiling Replacement - Perth Modern School,Programmed Facility Management,"$ 85,815.00 "
PRODOC25090,SW Refurbishment 38 Moylan Way Busselton,Programmed Facility Management,"$ 271,000.00 "
WACHS202414045,Preventative Maintenance of RCD and Smoke Alarm for WACHS Pilbara Staff Housing,WA Country Health Service,"$ 274,354.00 "
WAPOL11524,Provision of Specialist Firing Range Cleaning Services,Western Australia Police Force,"$ 1,540,000.00 "
ED252346,Electricity - Hocking Primary School (CUAELC2012),Department of Education,"$ 83,988.00 "
ED251586,Supply and Delivery of one new Variable Rate Spreader for Esperance Senior High School,Department of Education,"$ 99,880.00 "
DFES242325,"Service, Maintenance and Repair of Fire Fighting Branches, Nozzles and Monitors",Department of Fire and Emergency Services,"$ 840,000.00 "
DHW0458225,Department of Education - Esperance Residential College - Tree Pruning and Removal Works,Department of Housing and Works,"$ 34,850.00 "
DHW0407825,Department of Education -  North Morley Primary School – Toilet Refresh Program,Department of Housing and Works,"$ 209,366.00 "
DPC2473,Technical Support and Documentation Officer,Department of the Premier and Cabinet,"$ 120,000.00 "
DPC2470,IT Help Desk Support Officer,Department of the Premier and Cabinet,"$ 121,000.00 "
DPC2469,IT Help Desk Support Officer,Department of the Premier and Cabinet,"$ 121,000.00 "
DWER305625,Temporary Personnel - Systems Administrator,Department of Water and Environmental Regulation,"$ 104,000.00 "
ICWA060925,Private Investigators Panel,Insurance Commission of Western Australia,"$ 8,000,000.00 "
LW25210,Temporary Personnel Services - Senior Full Stack Developer,Lotterywest,"$ 233,638.00 "
LW25209,Temporary Personnel Services - Senior Full Stack Developer,Lotterywest,"$ 233,638.00 "
MRWA0197180146,Construction of Chidlow York Road (M010) Seal Shoulders on Existing Formation SLK 0.35 – 45.47,Main Roads Western Australia,"$ 3,676,756.00 "
MRWA009425,Provision of Vehicle-to-Everything (V2X) Road Hazard Warning System Trial,Main Roads Western Australia,"$ 153,727.00 "
MCB20252600,Commemorative Plaques,Metropolitan Cemeteries Board,"$ 5,500,000.00 "
MCB019294,Replacement of lattice,Metropolitan Cemeteries Board,"$ 53,541.00 "
PROMSA25153,Electrical Upgrades - Two (2) DOE Nominated Sites,Programmed Facility Management,"$ 551,446.00 "
PROMSA25147,Neerigen Brook Primary School - Power Upgrade,Programmed Facility Management,"$ 281,302.00 "
PROMSA25146,Roofing & Mechanical Services Upgrade - Neerigen Brook Primary School,Programmed Facility Management,"$ 1,381,887.00 "
PTA251133,N&I Administration Officer,Public Transport Authority,"$ 73,908.00 "
SMHS202515249,"Retail Electricity Services (2025) Fremantle, Rockingham and Peel Zone Sites",South Metropolitan Health Service,"$ 11,578,574.00 "
100525,Workstream 1 Fitout – Level 26 and 27 David Malcolm Justice Centre (DMJC),State Solicitor's Office,"$ 125,048.00 "
ICWAIPP1510,Cisco Duo subscription,Insurance Commission of Western Australia,"$ 65,604.00 "
DOC202338466,Family and Domestic Violence One Stop Hub - Kalgoorlie,Department of Communities,"$ 10,561,150.00 "
CITS2580,Kids Access All Areas Vouchers - WaivPay,"Department of Creative Industries, Tourism and Sport","$ 2,984,000.00 "
ED250601,Renewal of Oracle PeopleSoft 9.2 Payroll Localisation Support,Department of Education,"$ 366,642.00 "
ED240436,Cleaning Services to Schools in Karratha,Department of Education,"$ 30,521,012.00 "
DHW0458725,Department of Education - Ongerup Primary School - Tree Pruning and Removal Works,Department of Housing and Works,"$ 8,990.00 "
DHW0425325,Provision of Routine Maintenance for Air Compressors and Pressure Vessels - Kimberley Region,Department of Housing and Works,"$ 22,924.00 "
DHW0396625,Warburton Work Camp Install Leach Drain System,Department of Housing and Works,"$ 175,230.00 "
DHW0387725,Department of Education - Aveley Secondary College - Relocation of 1 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 79,703.00 "
DHW0380925,Department of Education - Baldivis Gardens Primary School - Relocation of 2 x GLA Transportable including associated works,Department of Housing and Works,"$ 146,324.00 "
DHW0281424,Department of Training and Workforce Development - Geraldton TAFE - B Block - Works and PAC Unit Replacement,Department of Housing and Works,"$ 310,813.00 "
DOJ202552267,Supply of Gas to Various Courts,Department of Justice,"$ 54,095.00 "
DPLH406825,Engagement of a Facilities Manager,"Department of Planning, Lands and Heritage","$ 121,973.00 "
DPIRD2025247,Provision for Aboriginal Bushfood Business Service – Acceleration Program,Department of Primary Industries and Regional Development,"$ 74,800.00 "
PO1000362,Premises access control replacement,"Department of the Registrar, WA Industrial Relations Commission","$ 71,484.00 "
GC2500124,Gas supply,Gold Corporation,"$ 132,226.00 "
MRWA0036200020,Provision of Asphalt Widening M037 Collie - Lake King Road SLK 181-195 & 300-327 - Wheatbelt Region,Main Roads Western Australia,"$ 4,010,670.00 "
PRODOC25063,MWG Refurbishment 25B Clematis Street Karloo,Programmed Facility Management,"$ 118,420.00 "
SRT2025023,"Supply, Delivery and Installation of Two (2) Wall Mounted Jib Cranes for South Regional TAFE",South Regional TAFE,"$ 33,455.00 "
SRT2025022,"Supply and Delivery of one (1) Skid Steer Loader, for South Regional TAFE, Collie Campus Workshop",South Regional TAFE,"$ 99,000.00 "
F2500245,Collection and Disposal of Sea Containers,VenuesWest,$ 200.00 
WAPOL00825,Asset Investigation Services,Western Australia Police Force,"$ 550,000.00 "
DBCA760GT2312024,Work Health and Safety IT System,"Department of Biodiversity, Conservation and Attractions","$ 2,104,309.00 "
ED252360,Electricity - Rockingham Beach Primary School (CUAELC2012),Department of Education,"$ 94,761.00 "
ED251921,Student travel to Canberra For Ocean Reef Senior High School,Department of Education,"$ 125,750.00 "
DHW25015,Provision of  Desktop Officer to support  Stage 2 Reform Works under CUATPS2024,Department of Housing and Works,"$ 65,000.00 "
DHW202541533,Design and Construct 3 x (2 Bed x 1 Bath) and 1 x (5 bed x 2 bath) Grouped Residential Dwellings at Lot 66 (12) Ashley Avenue Kewdale 6105,Department of Housing and Works,"$ 1,545,266.00 "
DHW0535324,Department of Primary Industries and Regional Development - Kununurra Quarantine Yard - Replacement of Livestock Crush,Department of Housing and Works,"$ 114,447.00 "
DHW0412925,Child and Adolesence Health - Perth Childrens Hospital - ACP Replacement,Department of Housing and Works,"$ 159,834.00 "
DHW0397425,Department of Education - Harvey Primary School - 2025 - 2026 Toilets Refresh Program,Department of Housing and Works,"$ 126,552.00 "
DHW0380225,Department fo Education - Yanchep Secondary College - Installation of 4x GLA Modular Classrooms with Associated Deck and Ramps,Department of Housing and Works,"$ 297,850.00 "
DPLH100224,Tree Lopping Panel - Perth Metropolitan,"Department of Planning, Lands and Heritage","$ 2,850,000.00 "
DPIRD2025226,Business Case for Increased Investment in Primary Industries and Development (PID) 2026/27 and Beyond,Department of Primary Industries and Regional Development,"$ 81,615.00 "
DOT411225,Cleaning Marine Operation Centre - Fremantle,Department of Transport and Major Infrastructure,"$ 267,734.00 "
MRWA0349240243,Provision of Temporary Personnel - OMTID - Business Services - Project Support Officer,Main Roads Western Australia,"$ 64,990.00 "
MRWA020122B,Panel Contract for the Provision of Metropolitan Vegetation Maintenance Services,Main Roads Western Australia,$ 1.00 
NRTAFE122024,Supply and Delivery of Post Hoist Set (x6) - Heavy Vehicle Lifts,North Regional TAFE,"$ 105,050.00 "
PROMSA25143,Court Rebuild and Shade Structure - Armadale SHS,Programmed Facility Management,"$ 819,800.00 "
PRODOC25095,PW10595 SM Refurbishment Unit 1 2 Chalmers Street Fremantle,Programmed Facility Management,"$ 154,600.00 "
PRODOC25093,"Refurbishment 11 Hargreaves Road, Coolbellup",Programmed Facility Management,"$ 235,250.00 "
PRODOC25089,SM Refurbishment U1 17 Esprit Parkway Greenfields,Programmed Facility Management,"$ 167,950.00 "
PTA251100,North Fremantle Integrated Transport Design Study,Public Transport Authority,"$ 221,429.00 "
PTA250859,Construction & Fit Out of the Extension for the Transwa Office,Public Transport Authority,"$ 198,483.00 "
SMT2025276,Cisco Wireless Access Points and Cisco Wireless Lecense Essentials,South Metropolitan TAFE,"$ 233,155.00 "
P26084A,Perth Motorplex Geotecnical Investigation,VenuesWest,"$ 68,765.00 "
P25032,WA Rugy Centre Community Hub Stage 1 Players’ Lounge,VenuesWest,"$ 56,462.00 "
WACHS202515236,Albany Health Campus (AHC) Kitchen Vinyl Replacement,WA Country Health Service,"$ 225,000.00 "
WACHS202312739,"Service/Maintenance and Upgrades for Building Management Systems, CCTV and Access Control  - Pilbara",WA Country Health Service,"$ 4,750,000.00 "
WACHS202312612,"Service/Maintenance and Upgrades for BMS, CCTV and Access Control across the Kimberley Region",WA Country Health Service,"$ 3,476,298.00 "
CRTF250000803,"Supply, Delivery & Installation of Commercial Electric Cooking Equipment with Pressure Cooking & Advanced Control Systems",Central Regional TAFE,"$ 62,901.00 "
DHW0742402522,Department of Justice - Roebourne Regional Prison -  Housing Unit RCD Upgrade,Department of Housing and Works,"$ 50,688.00 "
DHW0295425,Department of Justice - Kalgoorlie Courthouse - Fire Indicator Panels and Electrical Wiring Intercommunication System Replacement,Department of Housing and Works,"$ 139,997.00 "
DHW0228925,Department of the Premier and Cabinet - Parliamentary Electorate Office Girrawheen -  Fit Out,Department of Housing and Works,"$ 190,773.00 "
DOJ202523229,Employee Vaccination Program,Department of Justice,"$ 206,379.00 "
DPLH101724,MapTaskr Licensing and Support,"Department of Planning, Lands and Heritage","$ 262,802.00 "
DPIRD2025229,Supply & Delivery of One (1) Near Infrared Spectroscopy (NIR) XDS,Department of Primary Industries and Regional Development,"$ 155,771.00 "
TWDC05512025,ICT Project Management services (via CUAICT2021),Department of Training and Workforce Development (DTWD),"$ 4,417,201.00 "
DOT404017c343,Request for Tender for Project Management Services for Two Rocks Marina Wharf Replacement,Department of Transport and Major Infrastructure,"$ 668,928.00 "
TREAS26003,Independent ARC Chair,Department of Treasury and Finance,"$ 181,500.00 "
EMHS202514801,Supply of one Stereotactic Image-Guided Surgical Navigation System with post warranty service and maintenance for Spinal Surgery at Royal Perth Hospital,East Metropolitan Health Service,"$ 995,310.00 "
LG02412025,HPE Tech Care Essential Support Service,Landgate,"$ 163,704.00 "
LG02292025,Commvault Backup & Recovery for Virtual Machines,Landgate,"$ 109,560.00 "
MRWA003425,Provision of Mental Health First Aid Training,Main Roads Western Australia,"$ 124,520.00 "
NMTAFEC2025001,Provision of Cafeteria Services (Lease Agreement),North Metropolitan TAFE,$ 1.00 
PRODOC25067,MWG Internal and External Paint DOHW Nominated Sites Exmouth,Programmed Facility Management,"$ 221,978.00 "
P26086A,Perth Motorplex Dragstrip Track Replacement,VenuesWest,"$ 5,199,152.00 "
P26082A,Perth High Performance Centre - Electrical Infrastructure Upgrades,VenuesWest,"$ 446,875.00 "
WCQ0253,Public Website - Operational support services contract,Workcover Western Australia,"$ 152,856.00 "
CUAELC20212071025ACT,Electricity Services 2025,Arts and Culture Trust,"$ 1,166,994.00 "
DHW2025000836,Yungngora Aboriginal Community – Wastewater Treatment Pond Rectification and Associated Works - Civil Consultancy Services,Department of Communities,"$ 107,883.00 "
DHW2025000835,Yungngora Aboriginal Community – Contract Administration Services (including a Superintendent’s Representative role) during the Design and Construction Phases for the Works Contract,Department of Communities,"$ 144,152.00 "
ED252147,Canberra and Sydney Tour for Shenton College,Department of Education,"$ 228,400.00 "
DFESPOREQ0007116,Project Coordinator,Department of Fire and Emergency Services,"$ 88,000.00 "
DHW0462925,Department of Education - Albany Local Education Office -  Ceiling Replacement,Department of Housing and Works,"$ 141,175.00 "
DHW0440925,Department of Education - Exmouth District High School - New Welding Exhaust,Department of Housing and Works,"$ 70,053.00 "
DHW0435325,Department of Education - College Row School - Room 6 Ceiling Replacement.,Department of Housing and Works,"$ 53,848.00 "
DHW0283525,Department of Education - Maddington Primary School - Installation of 1x KPP Modular Classroom with Associated Patio,Department of Housing and Works,"$ 175,928.00 "
LGIRS25454,Key Operations Establishment and Support,"Department of Mines, Petroleum and Exploration","$ 249,755.00 "
DPLH406325,Engagement of ICT Document Writer,"Department of Planning, Lands and Heritage","$ 223,187.00 "
DPIRD2025259,Supply and Delivery of Hard Hose Irrigation System,Department of Primary Industries and Regional Development,"$ 139,287.00 "
DPIRD2025239,Provision of PCR Machine for the Broadacre Systems Team,Department of Primary Industries and Regional Development,"$ 81,040.00 "
LAWA20250731,Program Architecture Services - Digital Transformation Program,Legal Aid Commission of WA,"$ 818,250.00 "
MRWA0349240245,Provision of Temporary Personnel - RMO - Electrical Asset Management - Project Management Support,Main Roads Western Australia,"$ 109,625.00 "
MRWA0349240242,Provision of Temporary Personnel - Electrical Asset Management - Project Manager Support,Main Roads Western Australia,"$ 105,658.00 "
MRWA0349240231,Provision of Temporary Personnel - RMO - Electrical Asset Management - Electrical Asset Administration Support,Main Roads Western Australia,"$ 57,164.00 "
MRWA005725,Provision and Supply of Surveillance Services for Great Southern Region Seal and Reseal,Main Roads Western Australia,"$ 190,850.00 "
MRWA0044210017,Pavement Repairs 2025-26 - Various Roads - Goldfields-Esperance Region,Main Roads Western Australia,"$ 12,114,190.00 "
MHC2025088,Contract Management Audit 2025,Mental Health Commission,"$ 27,720.00 "
NMTAFEP2025003,Provision of Virtual Reality Development and Production Services for the WA Career Taster Program,North Metropolitan TAFE,"$ 1,300,000.00 "
PROMSA25164,Accessible Toilet and Laundry Upgrade,Programmed Facility Management,"$ 209,585.00 "
PROMSA25152,Block 8 Roof Replacement Stages 01 & 02 - SM TAFE Thornlie Campus,Programmed Facility Management,"$ 311,010.00 "
PROMSA25148,Drama Centre Upgrade - John Curtin College of the Arts,Programmed Facility Management,"$ 146,926.00 "
PROMSA25144,Metal Strip Ceiling Program - Yule Brook College,Programmed Facility Management,"$ 271,524.00 "
PRODOC25085,PW10595 MWG Refurbishment - 11B Salmon Loop Exmouth GROH,Programmed Facility Management,"$ 254,500.00 "
PTA251002,Feasibility Design - Perth Stadium Station Access Upgrade,Public Transport Authority,"$ 195,067.00 "
PTA250853,Level 2 Detailed Visual Inspection and Engineering Assessment,Public Transport Authority,"$ 184,824.00 "
DBCARIAQ6825,Whadjuk Noongar Heritage Monitoring Services,Rottnest Island Authority,"$ 720,000.00 "
DFES246825,Market Research Services for Bushfire and Cyclone Safety Awareness Campaigns,Department of Fire and Emergency Services,"$ 64,350.00 "
DHW0408125,Department of Education - Morley Senior High School - Toilet Refresh Program,Department of Housing and Works,"$ 131,474.00 "
